start_seconds,end_seconds,start_timecode,end_timecode
9950.0,10010.0,02:45:50.000,02:46:50.000
10230.0,10240.0,02:50:30.000,02:50:40.000
10270.0,10280.0,02:51:10.000,02:51:20.000
10290.0,10330.0,02:51:30.000,02:52:10.000
10340.0,10370.0,02:52:20.000,02:52:50.000
10400.0,10410.0,02:53:20.000,02:53:30.000
10440.0,10450.0,02:54:00.000,02:54:10.000
10460.0,10470.0,02:54:20.000,02:54:30.000
10710.0,10740.0,02:58:30.000,02:59:00.000
10760.0,10790.0,02:59:20.000,02:59:50.000
10810.0,10840.0,03:00:10.000,03:00:40.000
10900.0,10940.0,03:01:40.000,03:02:20.000
